Month,Year,Product,Volume,FOB_value_000,"Avg_FOB
"
Aug,2021.00,Desiccated Coconut,3679.00,10861.49,2952.00
Sept,2021.00,Desiccated Coconut,3206.00,9151.48,2854.00
Oct,2021.00,Desiccated Coconut,4141.00,11980.89,2893.00
Nov,2021.00,Desiccated Coconut,3779.00,10782.85,2853.00
Dec,2021.00,Desiccated Coconut,3178.00,9188.04,2891.00
Jan,2022.00,Desiccated Coconut,3049.00,8334.26,2733.00
Feb,2022.00,Desiccated Coconut,2988.00,8048.51,2694.00
Mar,2022.00,Desiccated Coconut,3822.00,8899.51,2328.00
Apr,2022.00,Desiccated Coconut,3197.00,7954.00,2488.00
May,2022.00,Desiccated Coconut,3692.00,8532.91,2311.00
Jun,2022.00,Desiccated Coconut,4118.00,9752.67,2368.00
Jul,2022.00,Desiccated Coconut,3315.00,7374.18,2224.00
Aug,2022.00,Desiccated Coconut,4121.00,8986.87,2181.00
Sept,2022.00,Desiccated Coconut,3543.00,7025.93,1983.00
Oct,2022.00,Desiccated Coconut,3795.00,6909.72,1821.00
Nov,2022.00,Desiccated Coconut,4111.00,7162.94,1742.00
Dec,2022.00,Desiccated Coconut,4040.00,7127.64,1764.00
Jan,2023.00,Desiccated Coconut,2359.00,4418.41,1873.00
Feb,2023.00,Desiccated Coconut,2658.00,5168.09,1945.00
Mar,2023.00,Desiccated Coconut,2759.00,5677.27,2058.00
Apr,2023.00,Desiccated Coconut,2110.00,4294.54,2035.00
May,2023.00,Desiccated Coconut,2986.00,6115.08,2048.00
Jun,2023.00,Desiccated Coconut,2573.00,5058.03,1966.00
Jul,2023.00,Desiccated Coconut,3003.00,6138.21,2044.00
Aug,2023.00,Desiccated Coconut,3879.00,7387.97,1905.00
Sept,2023.00,Desiccated Coconut,4116.00,7588.08,1844.00
Oct,2023.00,Desiccated Coconut,3929.00,7112.91,1810.00
Nov,2023.00,Desiccated Coconut,4179.00,7882.32,1886.00
Dec,2023.00,Desiccated Coconut,3438.00,6845.82,1991.00
Jan,2024.00,Desiccated Coconut,2957.00,5893.75,1993.00
Feb,2024.00,Desiccated Coconut,3402.00,6914.69,2032.00
Mar,2024.00,Desiccated Coconut,3592.00,7779.73,2166.00
Apr,2024.00,Desiccated Coconut,2983.00,6211.15,2082.00
May,2024.00,Desiccated Coconut,3473.00,7495.76,2158.00
Jun,2024.00,Desiccated Coconut,3402.00,8392.90,2467.00
Jul,2024.00,Desiccated Coconut,4294.00,9987.67,2326.00
Aug,2024.00,Desiccated Coconut,4231.00,10685.79,2525.00
Sept,2024.00,Desiccated Coconut,3366.00,8732.06,2594.00
Oct,2024.00,Desiccated Coconut,4203.00,11680.58,2779.00
Nov,2024.00,Desiccated Coconut,2167.00,7545.42,3482.00
Dec,2024.00,Desiccated Coconut,2180.00,8160.60,3744.00
Jan,2015.00,Copra,32.00,47.84,1495.00
Feb,2015.00,Copra,42.00,72.12,1717.00
Mar,2015.00,Copra,31.00,58.38,1883.00
Apr,2015.00,Copra,-,-,-
May,2015.00,Copra,21.00,40.00,1905.00
Jun,2015.00,Copra,48.00,81.19,1691.00
Jul,2015.00,Copra,42.00,66.64,1587.00
Aug,2015.00,Copra,42.00,57.61,1372.00
